Date,SHEL,CVX,BP,XOM,XEL,TSLA,IBDRY,JKS
2017-02-13 00:00:00-05:00,40.3291626,87.98584747,24.35270309,62.0401268,35.62359619,18.70666695,20.16253281,15.60000038
2017-02-14 00:00:00-05:00,40.3365593,87.74411011,24.29648972,61.90559769,35.36083984,18.73200035,19.98979759,16.03000069
2017-02-15 00:00:00-05:00,40.2310257,87.78310394,24.16778564,62.15972519,35.26761246,18.65066719,20.16253281,16.40999985
2017-02-16 00:00:00-05:00,39.92196274,86.30926514,24.08198929,61.51691055,35.5049324,17.93000031,20.29600525,16.13999939
2017-02-17 00:00:00-05:00,39.3490715,86.03633881,23.89608002,61.11328125,35.59817505,18.14866638,20.02120399,16.77000046
2017-02-18 00:00:00-05:00,39.3490715,86.03633881,23.89608002,61.11328125,35.59817505,18.14866638,20.02120399,16.77000046
2017-02-19 00:00:00-05:00,39.3490715,86.03633881,23.89608002,61.11328125,35.59817505,18.14866638,20.02120399,16.77000046
2017-02-20 00:00:00-05:00,39.3490715,86.03633881,23.89608002,61.11328125,35.59817505,18.14866638,20.02120399,16.77000046
2017-02-21 00:00:00-05:00,39.56767654,87.12028503,24.18924141,61.21044922,35.96263123,18.49266624,20.19393158,17.53000069
2017-02-22 00:00:00-05:00,39.18323517,86.07531738,23.88893318,60.49288177,36.01348877,18.23399925,20.14682388,16.97999954
2017-02-23 00:00:00-05:00,39.5601387,86.57439423,24.21069336,61.12822342,36.40336609,17.06599998,20.6807251,17.46999931
2017-02-24 00:00:00-05:00,38.98723984,85.87257385,23.95328522,60.60499573,36.73392487,17.13333321,20.82990646,17.14999962
2017-02-25 00:00:00-05:00,38.98723984,85.87257385,23.95328522,60.60499573,36.73392487,17.13333321,20.82990646,17.14999962
2017-02-26 00:00:00-05:00,38.98723984,85.87257385,23.95328522,60.60499573,36.73392487,17.13333321,20.82990646,17.14999962
2017-02-27 00:00:00-05:00,39.10784912,87.1436615,24.29648972,60.94881821,36.70849609,16.41533279,20.88486481,17.95000076
2017-02-28 00:00:00-05:00,39.11538696,87.728508,24.25358963,60.78437805,37.04752731,16.66600037,20.8534584,16.87999916
2017-03-01 00:00:00-05:00,39.4621315,88.80465698,24.47524643,62.05509186,36.86952972,16.66799927,20.79849815,16.73999977
2017-03-02 00:00:00-05:00,39.37168503,88.39916992,24.39659882,62.26437378,37.16618347,16.69866753,20.68857765,16.81999969
2017-03-03 00:00:00-05:00,39.54505539,88.54730988,24.37514496,61.63650894,37.05599594,16.77133369,21.1204071,16.34000015
2017-03-04 00:00:00-05:00,39.54505539,88.54730988,24.37514496,61.63650894,37.05599594,16.77133369,21.1204071,16.34000015
2017-03-05 00:00:00-05:00,39.54505539,88.54730988,24.37514496,61.63650894,37.05599594,16.77133369,21.1204071,16.34000015
