Date,SHEL,CVX,BP,XOM,XEL,TSLA,STEM
2017-01-03 00:00:00-05:00,40.906986236572266,91.0291748046875,26.699443817138672,67.32208251953125,34.428504943847656,14.465999603271484,
2017-01-04 00:00:00-05:00,41.321834564208984,91.00599670410156,26.90320587158203,66.5813980102539,34.581077575683594,15.13266658782959,
2017-01-05 00:00:00-05:00,41.6848258972168,90.6120834350586,27.099943161010742,65.58885192871094,34.581077575683594,15.116666793823242,
2017-01-06 00:00:00-05:00,41.3292350769043,90.2490234375,26.636205673217773,65.55180358886719,34.68279266357422,15.267333030700684,
2017-01-09 00:00:00-05:00,40.44768142700195,89.47661590576172,26.214641571044922,64.47039031982422,34.15727996826172,15.41866683959961,
2017-01-10 00:00:00-05:00,40.277305603027344,88.79688262939453,26.074121475219727,63.648216247558594,34.14881896972656,15.324666976928711,
2017-01-11 00:00:00-05:00,41.09218215942383,89.546142578125,26.383268356323242,64.300048828125,34.48784255981445,15.315333366394043,
2017-01-12 00:00:00-05:00,41.26997375488281,89.72380065917969,26.53081512451172,63.95189666748047,34.62345886230469,15.305999755859375,
2017-01-13 00:00:00-05:00,41.09959411621094,89.89370727539062,26.460552215576172,63.95930480957031,34.45394515991211,15.850000381469727,
2017-01-17 00:00:00-05:00,41.1440315246582,89.81646728515625,26.30597686767578,64.7074203491211,34.92012023925781,15.70533275604248,
2017-01-18 00:00:00-05:00,40.62548065185547,89.55387115478516,26.06708526611328,63.9074592590332,35.03030014038086,15.890666961669922,
2017-01-19 00:00:00-05:00,40.388427734375,89.2757797241211,25.92656135559082,62.759403228759766,34.6573600769043,16.250667572021484,
2017-01-20 00:00:00-05:00,40.647701263427734,89.2912368774414,25.8844051361084,63.61859893798828,34.80991744995117,16.315332412719727,
2017-01-23 00:00:00-05:00,40.566219329833984,89.12902069091797,25.72983741760254,62.937171936035156,34.58955764770508,16.594667434692383,
2017-01-24 00:00:00-05:00,41.01068878173828,89.88600158691406,25.933595657348633,63.026023864746094,34.57260513305664,16.974000930786133,
2017-01-25 00:00:00-05:00,41.225521087646484,90.55799102783203,26.017906188964844,63.211204528808594,34.55564880371094,16.96466636657715,
2017-01-26 00:00:00-05:00,40.8106803894043,90.02503967285156,25.81414794921875,63.403785705566406,34.674312591552734,16.833999633789062,
2017-01-27 00:00:00-05:00,40.70696258544922,87.8931655883789,25.70172882080078,63.337158203125,34.513275146484375,16.863332748413086,
2017-01-30 00:00:00-05:00,39.78837585449219,86.37149810791016,25.266103744506836,62.85567092895508,34.52175521850586,16.708667755126953,
2017-01-31 00:00:00-05:00,40.2921142578125,86.00846099853516,25.28015899658203,62.13719177246094,35.021827697753906,16.795333862304688,
2017-02-01 00:00:00-05:00,40.20322036743164,85.73812103271484,25.28718376159668,61.433536529541016,34.436981201171875,16.615999221801758,
2017-02-02 00:00:00-05:00,40.42546081542969,86.67274475097656,25.146657943725586,61.81127166748047,35.08115005493164,16.770000457763672,
2017-02-03 00:00:00-05:00,40.72177505493164,87.72322082519531,25.238000869750977,61.877952575683594,35.13200378417969,16.755332946777344,
2017-02-06 00:00:00-05:00,40.21803665161133,87.26750946044922,25.16773796081543,61.70759963989258,35.174373626708984,17.184667587280273,
2017-02-07 00:00:00-05:00,39.75873947143555,86.03936767578125,24.15597152709961,61.307613372802734,35.310001373291016,17.165332794189453,
2017-02-08 00:00:00-05:00,39.39574432373047,86.18610382080078,24.191102981567383,60.90398406982422,35.64902114868164,17.472000122070312,
2017-02-09 00:00:00-05:00,39.78837585449219,86.71136474609375,24.198129653930664,61.17307662963867,35.394744873046875,17.946666717529297,
2017-02-10 00:00:00-05:00,40.14395523071289,87.32157135009766,24.261367797851562,61.68135070800781,35.54730987548828,17.948667526245117,
2017-02-13 00:00:00-05:00,40.32915115356445,87.98587036132812,24.352705001831055,62.04012680053711,35.62359619140625,18.706666946411133,
2017-02-14 00:00:00-05:00,40.33656692504883,87.74411010742188,24.296493530273438,61.905574798583984,35.36084747314453,18.73200035095215,
2017-02-15 00:00:00-05:00,40.23102569580078,87.78311920166016,24.16779136657715,62.15972900390625,35.26762008666992,18.650667190551758,
2017-02-16 00:00:00-05:00,39.921958923339844,86.30924987792969,24.081987380981445,61.516910552978516,35.50493621826172,17.93000030517578,
2017-02-17 00:00:00-05:00,39.34907913208008,86.03632354736328,23.896081924438477,61.11328125,35.59816360473633,18.148666381835938,
2017-02-21 00:00:00-05:00,39.56767654418945,87.12025451660156,24.189247131347656,61.210453033447266,35.962623596191406,18.492666244506836,
2017-02-22 00:00:00-05:00,39.1832275390625,86.0753173828125,23.888931274414062,60.49288558959961,36.013484954833984,18.233999252319336,
2017-02-23 00:00:00-05:00,39.56013870239258,86.57440185546875,24.210693359375,61.12820816040039,36.40336227416992,17.06599998474121,
2017-02-24 00:00:00-05:00,38.98723220825195,85.87256622314453,23.953283309936523,60.60499572753906,36.733917236328125,17.133333206176758,
2017-02-27 00:00:00-05:00,39.10784912109375,87.14366912841797,24.296493530273438,60.94882583618164,36.70848846435547,16.415332794189453,
2017-02-28 00:00:00-05:00,39.11538314819336,87.72852325439453,24.25359344482422,60.78438186645508,37.04753112792969,16.666000366210938,
2017-03-01 00:00:00-05:00,39.46215057373047,88.80465698242188,24.47525405883789,62.05506896972656,36.86953353881836,16.667999267578125,
2017-03-02 00:00:00-05:00,39.37168502807617,88.3991470336914,24.3966007232666,62.264381408691406,37.16617202758789,16.698667526245117,
2017-03-03 00:00:00-05:00,39.54505920410156,88.54731750488281,24.375152587890625,61.63650894165039,37.056007385253906,16.771333694458008,
